Department,Month, Budget , Actual , Variance ,Variance_pct
HR,10/1/2024," 82,067.00 "," 76,306.00 "," -5,761.00 ",-0.0702
HR,11/1/2024," 1,239,326.00 "," 1,178,634.00 "," -60,692.00 ",-0.049
HR,12/1/2024," 770,631.00 "," 760,519.00 "," -10,112.00 ",-0.0131
Customer Success,1/1/2024," 1,363.00 "," 1,476.00 ", 113.00 ,0.0829
Customer Success,2/1/2024," 139,699.00 "," 133,457.00 "," -6,242.00 ",-0.0447
Customer Success,3/1/2024," 105,579.00 "," 105,526.00 ", -53.00 ,-0.0005
Customer Success,4/1/2024," 49,083.00 "," 47,323.00 "," -1,760.00 ",-0.0359
Customer Success,5/1/2024," 24,951.00 "," 23,984.00 ", -967.00 ,-0.0388
Customer Success,6/1/2024," 80,494.00 "," 73,783.00 "," -6,711.00 ",-0.0834
Customer Success,7/1/2024," 559,505.00 "," 570,539.00 "," 11,034.00 ",0.0197
Customer Success,8/1/2024," 76,288.00 "," 76,324.00 ", 36.00 ,0.0005
Customer Success,9/1/2024," 142,939.00 "," 131,398.00 "," -11,541.00 ",-0.0807
Customer Success,10/1/2024," 237,254.00 "," 227,800.00 "," -9,454.00 ",-0.0398
Customer Success,11/1/2024," 88,324.00 "," 94,814.00 "," 6,490.00 ",0.0735
Customer Success,12/1/2024," 697,211.00 "," 664,526.00 "," -32,685.00 ",-0.0469
Finance,1/1/2024," 204,546.00 "," 215,530.00 "," 10,984.00 ",0.0537
Finance,2/1/2024," 160,450.00 "," 150,362.00 "," -10,088.00 ",-0.0629
Finance,3/1/2024," 217,501.00 "," 217,821.00 ", 320.00 ,0.0015
Finance,4/1/2024," 242,694.00 "," 251,248.00 "," 8,554.00 ",0.0352
Finance,5/1/2024," 22,781.00 "," 24,250.00 "," 1,469.00 ",0.0645
Finance,6/1/2024," 124,695.00 "," 120,788.00 "," -3,907.00 ",-0.0313
Finance,7/1/2024," 74,922.00 "," 71,149.00 "," -3,773.00 ",-0.0504
Finance,8/1/2024," 439,148.00 "," 455,838.00 "," 16,690.00 ",0.038
Finance,9/1/2024," 171,698.00 "," 181,263.00 "," 9,565.00 ",0.0557
Finance,10/1/2024," 1,107,759.00 "," 1,077,583.00 "," -30,176.00 ",-0.0272
Finance,11/1/2024," 137,497.00 "," 127,502.00 "," -9,995.00 ",-0.0727
Finance,12/1/2024," 458,038.00 "," 494,357.00 "," 36,319.00 ",0.0793
IT,1/1/2024," 107,335.00 "," 116,922.00 "," 9,587.00 ",0.0893
IT,2/1/2024," 267,622.00 "," 290,042.00 "," 22,420.00 ",0.0838
IT,3/1/2024," 165,729.00 "," 167,467.00 "," 1,738.00 ",0.0105
IT,4/1/2024," 195,575.00 "," 209,045.00 "," 13,470.00 ",0.0689
IT,5/1/2024," 34,520.00 "," 32,585.00 "," -1,935.00 ",-0.0561
IT,6/1/2024," 114,751.00 "," 110,183.00 "," -4,568.00 ",-0.0398
IT,7/1/2024," 175,143.00 "," 181,459.00 "," 6,316.00 ",0.0361
IT,8/1/2024," 38,190.00 "," 40,573.00 "," 2,383.00 ",0.0624
IT,9/1/2024," 28,305.00 "," 30,120.00 "," 1,815.00 ",0.0641
IT,10/1/2024," 592,649.00 "," 582,462.00 "," -10,187.00 ",-0.0172
IT,11/1/2024," 106,995.00 "," 114,463.00 "," 7,468.00 ",0.0698
IT,12/1/2024," 44,481.00 "," 47,290.00 "," 2,809.00 ",0.0632
